hash,family,active_learning_sampling_frequency
90fd3ab118c483a7d99707384c6c6c0a,random,0.5535714285714286
d2ec1de194269f98dff6608ff097d031,petrinet-concurrency,0.5535714285714286
3e04d7740237fb695f4b86ab0cf25a6d,mosoi-289,0.5357142857142857
23a92c04ee9248308a18d6a44e5d15f0,battleship,0.5357142857142857
0de99d1b407af4eda689e2945fa86813,graph-coloring,0.5178571428571429
4e42740ca851e345cc8c95efb204c2bb,clique-coloring,0.5178571428571429
1169b7c01112d97a6835d259052284ba,planning,0.5178571428571429
a54fc3f88b4339f4c5634a8c120af31c,subgraph-isomorphism,0.5178571428571429
59db5319f6f63caeaf75b42eb6c2a1f5,planning,0.5
81fe63cbee3d00cdb5edd8d48dd9c194,clique-coloring,0.5
f81c3aeaf852faf68af51f9c2820184d,bitvector,0.5
4b803fb384091b68879eea87c93159d4,cryptography,0.5
27d45205f506344ebbde9181f7250ab9,subgraph-isomorphism,0.5
5896c7d372b74e74e51b89e4f7b486a5,planning,0.5
d2b4a9ea1313121cf1c9c7f420028aea,clique-coloring,0.5
2ebd179039ebdc8170d2a3d8c0e8bdc1,quasigroup-completion,0.5
5a0f1c50a905506a63594c927c566e11,planning,0.5
24f8d86e491149b4a759c0402eb705d4,quasigroup-completion,0.5
f850e66d10fddc6789acab360aba665f,parity-games,0.5
9429280ccafa815175a30a402cd95223,parity-games,0.5
149295422d7a647d48da377e0a4caea2,pigeon-hole,0.5
c3cc6d7dc2f972fa2d8b4830f230aacf,genurq,0.5
1b67c3f80f6630fb9a3a3bef71492412,mosoi-289,0.5
25b4eff0c424fc1b760cf52562ec9a47,pigeon-hole,0.5
166a6b3d34c99e539a4f1e431d2181eb,fpga-routing,0.5
5aacd7fd4850b3712de14275906f1e29,mosoi-289,0.5
11ba9953b9ae8475f05de36bfd6ec21f,graph-coloring,0.5
d35caf50ac810de6ae2693995894a629,battleship,0.5
b5a08d7466b116c1117e6837c380f88a,quasigroup-completion,0.5
8a4c2729681b03c8c01ec34a5e21ccd4,quasigroup-completion,0.5
8bcf7a159f222efa1ae718bd2a0e4897,battleship,0.5
c369e852e7dfded433aad34a19100310,fpga-routing,0.5
e88d7cee13b8236278250494837bb819,fpga-routing,0.5
49c45e5d3851a6c13bed134beeea27dd,quasigroup-completion,0.5
77b18f227ee94d32a489a552abd8ee6b,fpga-routing,0.5
c3597a1893475479a8779083c761d1b3,pigeon-hole,0.5
3a3beb1a5f6022e09955df9fd645cf8f,cryptography,0.48214285714285715
a56addcb6a1dffaf3d06d0281dc558c4,planning,0.48214285714285715
8364f9e578c223da9cd74097d6c821e1,parity-games,0.48214285714285715
71bca76153c6ee65b72a517fd658a42d,quasigroup-completion,0.48214285714285715
b5916fcddc9b1e992383d861bdd7829e,pigeon-hole,0.48214285714285715
c66167837eaad5a6ddc6ee40fa77488f,pigeon-hole,0.48214285714285715
3becb154c60a9c36c323b6a29b9f8974,bitvector,0.48214285714285715
8a244542d09e20e9e8813ce7089c4135,termination-analysis,0.48214285714285715
f52204f531ad0bebeed1ea6fcaaa39d2,finite-state-machines,0.48214285714285715
c6e47b17688a41c70bb3d4f0222cb25c,graph-based,0.48214285714285715
b4a9d8e472f004a93122f17280617101,graph-based,0.48214285714285715
368f15ca6b2fb45bb3a02c7662981139,quasigroup-completion,0.48214285714285715
ca1c2caa2f32c735b03b448ed80a807d,fpga-routing,0.48214285714285715
d08c5fac67a7490e7f976dc07a891148,pigeon-hole,0.48214285714285715
4131e1291b3fc886a0c1002c56f2b970,fpga-routing,0.48214285714285715
f1931c6a41a3cdac5a9c9cb806bf03ce,2d-strip-packing,0.48214285714285715
487ac9b1a77b8902fbd5a943130dd926,fpga-routing,0.48214285714285715
452e25912539651a054def8e32cd4888,fpga-routing,0.48214285714285715
95bb75b5ed3f63de357b4d406f0359d9,fpga-routing,0.48214285714285715
cdc22f17d9798c33698e448e234139da,clique-coloring,0.48214285714285715
32d0cc6432166c097aa5e41628129784,fpga-routing,0.48214285714285715
21f623f7f53093ddaf792ddadf405a91,planning,0.48214285714285715
681ec30b9f3f0ffd60b8f14231508ffc,planning,0.48214285714285715
9934cfcba792b2967401a5edfc555ae7,battleship,0.48214285714285715
e91b69bd808ddda0e8643a5970318280,quasigroup-completion,0.48214285714285715
3db38a90085107e738587a90c790384e,prime-factoring,0.48214285714285715
7162f7f1e18ff7e3010af4ca4396bd4e,2d-strip-packing,0.48214285714285715
262a226a47330987f038128579967405,unknown,0.4642857142857143
6437f7d7774378148f53a4b09801993b,sorting-networks,0.4642857142857143
55ffab46adf458305b637bee7f04c23c,quasigroup-completion,0.4642857142857143
df5b743d26da26848b6fe4c0fccdf1c4,random-csp,0.4642857142857143
b2b66353112ec6d6e6088d0a9b7073d0,hardware-verification,0.4642857142857143
da1c4b80744ff527a61cafd64d069897,pigeon-hole,0.4642857142857143
6d12f7972e402769c45d151387122959,random-modularity,0.4642857142857143
cb7275ef362bdd407d1d5311a3681b37,unknown,0.4642857142857143
995e7dba6337cfba9ef882945876252b,planning,0.4642857142857143
5fae97fdc8208de522104f5191cd7ad1,dining-philosophers,0.4642857142857143
36c342091848d5d6a1a8eeb3a8b49b86,planning,0.4642857142857143
482bb6ba5fa5d4ea00b38e33510d43c2,planning,0.4642857142857143
30d9ae223e3e2db6a2b7296d2d671f1a,waerden,0.4642857142857143
528914f6359f75a6493788e3730ffbb4,xor-chain,0.4642857142857143
a26226fcee844caa830d838d5c52684b,graph-based,0.4642857142857143
4e72215653dcb2b6b1266217b55c029d,planning,0.4642857142857143
57f34c7f226121206e07b7219879838d,planning,0.4642857142857143
38fc2304b663efacfffe556333db9037,hardware-verification,0.4642857142857143
6459a34b91aa3bc54a3c587579b1ac95,planning,0.4642857142857143
039b45f4a3979c9176b115bb8e88342f,genurq,0.4642857142857143
e8ee20b7aac3678ccee57a5ae898882c,genurq,0.4642857142857143
6f8f8770f57cb1078836de8972d96283,planning,0.4642857142857143
65cbdd1fa0abf1d2e31ba48b5cfbcb16,finite-state-machines,0.4642857142857143
3db285796738ae7e2112e831b0e9b7f4,diagnosis,0.4642857142857143
8e3b844739ffc6439a32e91192ae1848,diagnosis,0.4642857142857143
2889a0f3ef28b77cb06738207393db7c,fpga-routing,0.4642857142857143
342b5051905c00be7850050ff6d41658,diagnosis,0.4642857142857143
29eb30f1e03d112c000aed036a801e42,fpga-routing,0.4642857142857143
c0ee301a9bae7b5ff51d87854d89d549,clique-coloring,0.4642857142857143
f7d1d40e5ac75fe3abcf8b19437d33ec,clique-coloring,0.4642857142857143
c9950814842b5586d11865b8aef27197,graph-coloring,0.4642857142857143
462b3a8b23baa97668ddb920a749a06e,prime-factoring,0.4642857142857143
dacedc9065cf7d46578556048129260f,mutilated-chessboard,0.4642857142857143
ee3fbb674da506cf676adfff15ed7c3f,fpga-routing,0.4642857142857143
b73eaff48c4b517d1fcb1ff4a9aaebb0,cryptography,0.4642857142857143
0c945ea640ceb4c2f80463f7930ccb89,fpga-routing,0.4642857142857143
e02cc08183436cf370b565fbf365f3fe,circuit-multiplier,0.4642857142857143
9cc3ba7aa970ae0b6d3ceb9d331a4255,diagnosis,0.4642857142857143
34c64c89371c38e2ad39442e7be6f9f2,tseitin,0.4642857142857143
0336f81b60baac5b8f481dd3c32861a5,modcircuits,0.4642857142857143
af92393bfacc2b077e845b934c703282,hardware-bmc,0.4642857142857143
68eb522c6e1666736ff302a943cf722d,pigeon-hole,0.4642857142857143
26114429758a203d651f4df87c94de4c,sgen,0.4642857142857143
3b99c985cc81de89b45240d0fc8d6923,random-clustered,0.44642857142857145
005ccb378ced61c02105ed7ee0a62038,matrix-multiplication,0.44642857142857145
26b2edbaa9ca66c575b64ee0920f7d6a,genurq,0.44642857142857145
8bc827a04706f235a82de54d0b30c4ab,planning,0.44642857142857145
8349bad9fec3b0611611b3f62b5030cd,planning,0.44642857142857145
92387c29e87aa857e84feb301f3d6aff,rbsat,0.44642857142857145
44092fcc83a5cba81419e82cfd18602c,pigeon-hole,0.44642857142857145
f5076f06d3ce3c6e3e45c1393ab0a73f,quasigroup-completion,0.44642857142857145
d9767a6ac2e1bfa8d3b28ec4bcf02d38,sorting-networks,0.44642857142857145
69ceafaa83839dbe53dc801c483e9991,clique-coloring,0.44642857142857145
0cb3538f0197f24fc57d79913b0531d9,waerden,0.44642857142857145
bd4d39eb6cabefc607dffddc10e0def4,software-verification,0.44642857142857145
a948cbb498dad47fe4bf5a3124ab11a8,clique-width,0.44642857142857145
eebf7fd478bc1f12cb21ecdfa36c3771,fpga-routing,0.44642857142857145
f3dfa624c79a45a047d6ff8d48501454,fpga-routing,0.44642857142857145
d429ab8e6c9397b5072fe4c5be8b94be,random-csp,0.44642857142857145
cfe1fbb525c39ecedb17966083b93fa5,hardware-verification,0.44642857142857145
0463b72200ae80c02835c027d3606c4e,battleship,0.44642857142857145
ff2f06af479a72c3ccba0294766b6c03,hardware-bmc,0.44642857142857145
1aa1fac1ce123fd825c7846e075c03a1,software-bmc,0.44642857142857145
fdb0a60e8dab4e93c21fb397b9594e02,subgraph-isomorphism,0.44642857142857145
0b9c26a4c70242841fad1868c266dc9c,unknown,0.44642857142857145
35d3272e49849f3913b61365e411d770,sgen,0.44642857142857145
28fd76d813030cecbd562147bcd410a0,quasigroup-completion,0.44642857142857145
f4215829cd6dd9c735cf07f2c6355b04,graph-based,0.44642857142857145
6fac0a6ec09fabc6c9e0d6dcc1f0e0c1,termination-analysis,0.44642857142857145
87812ad06d3612ba0d4766c410e9f7f7,pigeon-hole,0.44642857142857145
4e203ccb97234b5525148f79e47a6276,graph-based,0.44642857142857145
200023103e35069382ed4b62bf1ac984,edge-matching,0.44642857142857145
07682e22f82f9257d44b45777ac06168,graph-based,0.44642857142857145
a51680b6ac045d8705cfb3e8b1377ee2,graph-based,0.42857142857142855
d6e1aef6b0664f7faa0ee8d435733b9b,rbsat,0.42857142857142855
3a2296b865b75bbb852a284a7ffde19f,planning,0.42857142857142855
3790402e85dcf5a9068a261d9b409cd9,fpga-routing,0.42857142857142855
53463611103e9b4523eef1d9b5b0f105,influence-maximization,0.42857142857142855
14f630622696acf0317df1ff5e20b1e9,fpga-routing,0.42857142857142855
e413c9b2f778c586990a054dff100d89,bitvector,0.42857142857142855
dea0f4c12895e945f674fa60145b395e,mutilated-chessboard,0.42857142857142855
931621d9964e9d0cd1c4001822015c92,influence-maximization,0.42857142857142855
1d9355bd9a5c79a38de703033aae1d02,quasigroup-completion,0.42857142857142855
42e5098d8fd498a760e9336cac826604,pigeon-hole,0.42857142857142855
7d71639b783d345bb7c576cba467dc9e,planning,0.42857142857142855
6ae9c8ca214ba34d8e77297d316f6e77,fpga-routing,0.42857142857142855
6d637f8934c46e2a2638f3cfcba1c75f,hardware-verification,0.42857142857142855
8e37a69072396fffdeea95d27b5f0da2,hardware-verification,0.42857142857142855
7ca6261a802a16061c75bd9f139637ec,fpga-routing,0.42857142857142855
8e130a58faecae9a40f0f2dbd0b7796f,graph-based,0.42857142857142855
06a36581f14e399a76a5110449ebe739,planning,0.42857142857142855
9e1daf592793dc458e74cc4542efd074,polynomial-multiplication,0.42857142857142855
33781a734f0034b9942dcd2c12b50065,bioinformatics,0.42857142857142855
0b8d274c5bf66683cbdd1238771b31f5,unknown,0.42857142857142855
362cbce11ea1e1f0c18280161d51d2c8,quasigroup-completion,0.42857142857142855
c78487f5561b494a5f20ac072978a14e,bounded-model-checking,0.42857142857142855
39d298a28350ecdd62b386479807ae13,random-csp,0.42857142857142855
220bb8aa093e502c47afcdac3140d67c,cryptography,0.42857142857142855
6751a2e39de2e654aab548e038702878,quasigroup-completion,0.42857142857142855
b5d34fefe2bcdbc8615b9f3a3bee546a,edge-matching,0.42857142857142855
eeb21ce83dc636bfe80b7b653ca5334c,edge-matching,0.42857142857142855
90cbe250dd98bda0afbd022a7c848398,bitvector,0.42857142857142855
08e151e72fe10402a49463171aa557e8,antibandwidth,0.42857142857142855
20af7a90131ea05e1ef53ea3705088c9,bitvector,0.42857142857142855
6cc9c5a9cdd1ee2fa527862388871dd3,pigeon-hole,0.42857142857142855
18e86b73af9b6adadc355a281387348b,software-verification,0.42857142857142855
8baa0711d8c1a402bd2504da74cdf863,subgraph-isomorphism,0.42857142857142855
a517589810ff3ef5308a694957939bea,cellular-automata,0.42857142857142855
0506d033a4ca469af10d95dbf36a86e9,edge-matching,0.42857142857142855
055836a43eb318de92f09c555ba4f3b5,graph-coloring,0.42857142857142855
84ace37814debb04200a7cf10e31f896,cryptography,0.42857142857142855
0973e4a7d566ff12e7316cf0304ac1f4,genurq,0.42857142857142855
8f5a6764c5ad82e3131d616bb152f9fc,random-clustered,0.42857142857142855
2efb9075d56838fdcfb9e3bbd7634420,genurq,0.42857142857142855
32dc74b01c269a8f6d0b48f8953a1887,parity-games,0.42857142857142855
3df4057f6ca11c57e2d3e8f24234cd5b,graph-based,0.42857142857142855
a1b435027ea80da04cd416241c44cdc6,quasigroup-completion,0.42857142857142855
92b98ab8055b143e0283a215a70cf001,bitvector,0.42857142857142855
db3be4cbdcf663dbd37f6fa58d4f6bce,genurq,0.42857142857142855
075e1eef00500b25ceb5ea4823ccf1b0,graph-coloring,0.42857142857142855
3978bc0db0a3f8a16de8e667761a3d01,rbsat,0.42857142857142855
f1a90b942622e252783f9a89fdedb582,generic-csp,0.42857142857142855
0baf01d658e8ba1a73915c2360fd2407,hardware-verification,0.42857142857142855
94b133e594be601e22c0e1570cfd1a75,planning,0.42857142857142855
939b868968d6b8b5fc8408e78e8645e5,planning,0.42857142857142855
55b4193cd499ccfce7d0c8ccda94c015,generic-csp,0.42857142857142855
8ce2b76c6b63c0c9b770a72228076709,planning,0.42857142857142855
c31f64e36934747378efbea57f27b8ef,sgen,0.42857142857142855
7efdf72de31fa82aeceb7acbc29a59bf,petrinet-concurrency,0.4107142857142857
a3621e2db5422fd47c0d7ed68133f1dc,subgraph-isomorphism,0.4107142857142857
4c33ad406ac0cadae0198d62017e8ba7,bioinformatics,0.4107142857142857
90269b99c4857a01bf75cb3bf121c9c7,pigeon-hole,0.4107142857142857
5ccf191677e30ff4ffc68e94c062edde,finite-state-machines,0.4107142857142857
08a68ba9d062c0856f1bc9cce7907b11,subgraph-isomorphism,0.4107142857142857
53c21f3e78f060883026b5a12ba691d8,maximum-constraint-partition,0.4107142857142857
269d92aef52c2d8c729f4212bd29a8e8,pigeon-hole,0.4107142857142857
05680de3febd39916e496dd772cb8c19,hardware-verification,0.4107142857142857
ea3ad33d8a3319b1cc96ec8e512276c7,dining-philosophers,0.4107142857142857
839cd813df8ee6573b124fab9c4ecb00,matrix-multiplication,0.4107142857142857
5ba04fc4110839423710b280f7d8096c,subgraph-isomorphism,0.4107142857142857
05fbbab9f0baf819ed9593cca8587629,subgraph-isomorphism,0.4107142857142857
af8d0f51b19fa5ecfe833742f39c61c9,planning,0.4107142857142857
ce636f1b8af96c134a2911efd63b7f14,battleship,0.4107142857142857
bafe29b777d8546e978ca83952bdcf88,planning,0.4107142857142857
cf156b71d41519e75181d4f221096777,random-clustered,0.4107142857142857
dfe6e6bb34cfca922dffc3c48ba09e63,planning,0.4107142857142857
f1b45366faefda19a1c528ac6fa605ac,planning,0.4107142857142857
4b3c7fb5a7b24f2680395176380ec8e3,software-verification,0.4107142857142857
d386c7e9c36009d0666f53916e8d20d7,termination-analysis,0.4107142857142857
9fe865b5beb5db23214843af98878e8d,graph-based,0.4107142857142857
