solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,1900,0.10374313698684448,0.8148148148148148,0,0
1,1906,0.10392496227160138,0.8148148148148148,0,0
2,1919,0.10352601289144853,0.7407407407407407,0,0
3,1919,0.10390567321861413,0.8148148148148148,0,0
4,1749,0.10354793980384083,1.0,0,0
5,2053,0.10360556146688762,0.8148148148148148,0,0
6,2027,0.10365452982263032,1.0,0,0
7,1993,0.10350147540951013,0.9259259259259259,0,0
8,2031,0.10385097650354913,0.9259259259259259,0,0
9,1966,0.10371086906423445,0.8518518518518519,0,0
10,2034,0.10353597595119901,0.6666666666666666,0,0
11,2054,0.10356132209123733,0.5925925925925926,0,0
12,1884,0.10380770148603607,0.9629629629629629,0,0
13,1993,0.10386968135916003,0.8888888888888888,0,0
14,2018,0.10360248774079145,0.6666666666666666,0,0
15,1987,0.10394251318984599,0.8888888888888888,0,0
16,1910,0.10403367386263036,0.7777777777777778,0,0
17,1994,0.10394025059492608,0.9259259259259259,0,0
18,2013,0.10380259765764213,0.9259259259259259,0,0
19,1995,0.10365025383710666,0.7407407407407407,0,0
20,1786,0.10354330669934449,0.9629629629629629,0,0
21,1911,0.10382288757793601,0.7407407407407407,0,0
22,1940,0.10351899144250956,0.8518518518518519,0,0
23,1962,0.10383512637073164,0.8888888888888888,0,0
24,1990,0.10391935655999407,0.8888888888888888,0,0
25,1974,0.10379641394626994,1.0,0,0
26,1993,0.10378938037960099,0.8888888888888888,0,0
27,1962,0.10357027196063393,0.7037037037037037,0,0
