solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,471,0.17625974931557326,0.8148148148148148,0.7407407407407407,0.9846743295019157
1,443,0.1533418258580231,0.7777777777777778,0.7037037037037037,0.9872724876907928
2,483,0.19411313368962782,0.7777777777777778,0.7407407407407407,0.9848090963990774
3,520,0.21777158609257663,0.8148148148148148,0.7777777777777778,0.9801560239591709
4,425,0.08952564830508788,1.0,1.0,0.9846743295019157
5,5301,1.0,1.0,1.0,0.9839879659685059
6,490,0.21336273718884669,0.8888888888888888,0.8888888888888888,0.9841269841269842
7,589,0.21670524625024873,0.8148148148148148,0.8148148148148148,0.9611384783798578
8,5301,1.0,1.0,0.9629629629629629,0.9841269841269842
9,487,0.200673037735808,0.7777777777777778,0.7777777777777778,0.9199397923839077
10,425,0.15022767954955332,0.9629629629629629,0.9629629629629629,0.9863163656267103
11,425,0.15799202388298766,0.9259259259259259,1.0,0.9852216748768472
12,425,0.1385498701255692,1.0,1.0,0.9768715022368838
13,425,0.14384845643445804,0.8888888888888888,0.9259259259259259,0.9863163656267103
14,425,0.1377382278364953,0.9259259259259259,0.9259259259259259,0.983440545681458
15,457,0.18519682601907939,0.8888888888888888,0.8888888888888888,0.9812508645332665
16,432,0.15497823778590275,0.7777777777777778,0.7407407407407407,0.9616858237547894
17,5301,1.0,1.0,0.9629629629629629,0.9863163656267103
18,5301,1.0,1.0,0.9259259259259259,0.9841269841269842
19,431,0.14612623822429718,0.9629629629629629,0.9629629629629629,0.9863163656267103
20,425,0.14003946287594707,0.9629629629629629,0.8148148148148148,0.9863163656267103
21,464,0.18661337260597233,0.5185185185185185,0.5185185185185185,0.9559266714594363
22,443,0.17012402086677375,0.8518518518518519,0.9259259259259259,0.9770114942528736
23,447,0.18591402195690088,0.9259259259259259,0.9259259259259259,0.9414340448823207
24,5301,1.0,1.0,1.0,0.9824849480021893
25,459,0.192764108864021,0.9259259259259259,0.9259259259259259,0.8821677925776061
26,457,0.18092027196409777,0.9259259259259259,0.9259259259259259,0.9815245746767906
27,439,0.1652741354069592,0.8148148148148148,0.8518518518518519,0.9850787962799104
