solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,11,0.02085269546978326,0.9090909090909091,0.8181818181818182,0.7645169494575678
1,14,0.02240424875453552,0.6818181818181818,0.5909090909090909,0.9560060485834195
2,531,1.0,1.0,0.9090909090909091,0.9557480996922472
3,11,0.02067803791898118,0.7727272727272727,0.7272727272727273,0.9293130151689911
4,531,1.0,1.0,0.9090909090909091,0.9569946794506207
5,18,0.04533990738947341,0.9545454545454546,0.9545454545454546,0.9488259717068922
6,531,1.0,1.0,0.8636363636363636,0.9441424781770069
7,34,0.05467084529990181,0.8181818181818182,0.9090909090909091,0.9446367936106074
8,531,1.0,1.0,1.0,0.9468482208539334
9,531,1.0,1.0,0.9090909090909091,0.94710837077861
10,15,0.04970209371120043,0.8636363636363636,0.6818181818181818,0.9062584224431911
11,117,0.055914947829633896,0.7272727272727273,0.6818181818181818,0.9278300688681896
12,21,0.03142880572488877,0.5454545454545454,0.5,0.9355078121028931
13,14,0.03256340523335936,0.9090909090909091,0.9545454545454546,0.9513219959313626
14,38,0.08716439194362825,1.0,1.0,0.7302371541501976
15,13,0.03039737085777457,0.5909090909090909,0.5454545454545454,0.8875156952651752
16,13,0.02756882309172743,0.5454545454545454,0.5909090909090909,0.8687917240765377
17,531,1.0,1.0,0.9545454545454546,0.9577465081116782
18,13,0.024430065791331754,0.7727272727272727,0.6818181818181818,0.8116659419720657
19,531,1.0,1.0,0.9545454545454546,0.917943760196179
20,13,0.02510780955448362,0.8636363636363636,0.8636363636363636,0.9411765855754037
21,531,1.0,1.0,0.8636363636363636,0.9510628942474142
22,18,0.02225857433349411,0.8181818181818182,0.7727272727272727,0.8290513833992096
