solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,19,0.04448344978387976,0.7272727272727273,0.7272727272727273,0.9453916769956865
1,12,0.013110207763967516,0.45454545454545453,0.45454545454545453,0.0
2,20,0.049851352705563144,0.45454545454545453,0.5454545454545454,0.7915947788966828
3,16,0.033868399711381066,0.6818181818181818,0.6363636363636364,0.9352448003721974
4,11,0.024727773276081007,0.22727272727272727,0.22727272727272727,0.0
5,22,0.043158283332768804,0.45454545454545453,0.45454545454545453,0.8934489478240512
6,22,0.03497592452954815,0.8181818181818182,0.8636363636363636,0.9530401559818165
7,11,0.019405493175472813,0.4090909090909091,0.3181818181818182,0.0
8,11,0.0196318866719326,0.5454545454545454,0.5454545454545454,0.0
9,16,0.058701028496876514,0.5,0.5909090909090909,0.0
10,14,0.022806384302513423,0.5,0.22727272727272727,0.9062584224431911
11,13,0.018305290888094364,0.7272727272727273,0.7727272727272727,0.0
12,27,0.052570563583042525,0.6818181818181818,0.6363636363636364,0.9147516958280271
13,16,0.021873720701304725,0.9090909090909091,0.9545454545454546,0.9513219959313626
14,19,0.02463344491099245,0.8636363636363636,0.8636363636363636,0.6897233201581028
15,15,0.04025672267492716,0.8181818181818182,0.7727272727272727,0.8875156952651752
16,12,0.021649438946159956,0.5454545454545454,0.5,0.8915246133299626
17,12,0.02566036178539409,0.45454545454545453,0.5,0.0
18,30,0.055276992582330375,0.5909090909090909,0.6818181818181818,0.9065745052233668
19,11,0.03195656327125294,0.5909090909090909,0.6363636363636364,0.0
20,25,0.053215175829632755,0.6818181818181818,0.7727272727272727,0.9411765855754037
21,11,0.008190887248079539,0.5,0.5454545454545454,0.0
22,15,0.019341793144119216,0.6818181818181818,0.6363636363636364,0.9268774703557312
