solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,54,0.033305682125727175,0.6363636363636364,0.6363636363636364,0.9120119749929725
1,54,0.054351247473728936,0.8636363636363636,0.8636363636363636,0.0
2,54,0.03733952104815705,0.7727272727272727,0.7727272727272727,0.954759224265768
3,54,0.033022964679786534,0.3181818181818182,0.2727272727272727,0.8156204654408697
4,54,0.04494119802095012,0.9545454545454546,0.8636363636363636,0.9569946794506207
5,54,0.02964736049261357,0.7272727272727273,0.7272727272727273,0.8934489478240512
6,54,0.03896149110439759,0.9545454545454546,0.8181818181818182,0.9530401559818165
7,54,0.061744908558601784,0.7727272727272727,0.6818181818181818,0.9446367936106074
8,54,0.05376017307000844,0.7727272727272727,0.7727272727272727,0.9458593454274542
9,54,0.03752609549855962,0.5,0.5,0.892733673082552
10,54,0.06147707037605706,0.8636363636363636,0.7727272727272727,0.9201095337032398
11,54,0.055142686913304595,0.4090909090909091,0.36363636363636365,0.9485913170794118
12,54,0.04726876643849918,0.9090909090909091,0.8636363636363636,0.9285891066779377
13,54,0.0603576145185159,0.9090909090909091,0.9545454545454546,0.9532987689099213
14,54,0.05902326204839543,1.0,1.0,0.9397233201581027
15,54,0.05084422901948796,0.7727272727272727,0.7272727272727273,0.95179259798633
16,54,0.04917895265595801,0.7272727272727273,0.6818181818181818,0.9288186997353906
17,54,0.051647642298486236,0.6363636363636364,0.6818181818181818,0.92512975396546
18,54,0.061773915301412734,0.6363636363636364,0.7272727272727273,0.9597036013981645
19,54,0.06536325687844871,0.6363636363636364,0.5909090909090909,0.9233812299657848
20,54,0.059302717167036334,0.8636363636363636,0.7727272727272727,0.9342561695049963
21,54,0.02585014257451153,0.4090909090909091,0.36363636363636365,0.8116659419720657
22,54,0.06671599480383357,0.8181818181818182,0.7727272727272727,0.9100790513833993
