solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,44,0.1593132844982094,0.6666666666666666,0.6666666666666666
1,39,0.14769913556752776,0.5333333333333333,0.6
2,36,0.14088253942006654,0.4666666666666667,0.4666666666666667
3,41,0.15122346525407485,0.6,0.5333333333333333
4,24,0.06978004203671569,1.0,1.0
5,39,0.11119330649800645,0.9333333333333333,0.9333333333333333
6,23,0.0643795764957154,0.8,0.8
7,38,0.11253333094630565,0.8666666666666667,0.8666666666666667
8,39,0.17153521019805726,0.2,0.2
9,51,0.144668292453234,0.7333333333333333,0.7333333333333333
10,25,0.057415991431820634,1.0,1.0
11,44,0.1833765935579493,0.3333333333333333,0.3333333333333333
12,58,0.14282844157554317,1.0,1.0
13,50,0.19591814939062263,0.4,0.4
14,47,0.22464588134279567,0.13333333333333333,0.13333333333333333
15,187,0.5233037592878993,0.9333333333333333,0.9333333333333333
