solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,129,0.31122278983287016,1.0,1.0
1,190,0.4798573214343771,0.9333333333333333,1.0
2,210,0.552580594067632,1.0,1.0
3,270,0.6609807835702379,0.9333333333333333,1.0
4,140,0.31171085677570165,0.8,0.8
5,176,0.35869319650581794,0.8,0.8
6,162,0.3442444573689893,0.9333333333333333,0.9333333333333333
7,129,0.28597772737391974,0.9333333333333333,0.9333333333333333
8,171,0.4550612057404302,1.0,1.0
9,130,0.3012146008631715,1.0,1.0
10,47,0.12110459844250032,1.0,1.0
11,223,0.5011717752873619,1.0,1.0
12,40,0.10315525420732141,1.0,1.0
13,237,0.5686800925454314,1.0,1.0
14,202,0.5524520795219278,0.9333333333333333,0.9333333333333333
15,159,0.41117104941993843,1.0,1.0
