solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.20610632104865614,1.0,1.0
1,80,0.20226109158777889,0.8666666666666667,0.9333333333333333
2,80,0.20595368862351182,1.0,1.0
3,80,0.18909108198716773,0.9333333333333333,1.0
4,80,0.19607829762560605,1.0,1.0
5,80,0.1999730041813634,0.9333333333333333,0.9333333333333333
6,80,0.20022106865635622,1.0,1.0
7,80,0.2157323889986535,0.8666666666666667,0.8666666666666667
8,80,0.1944539121033658,1.0,1.0
9,80,0.19014667253415982,1.0,1.0
10,80,0.19352862028955983,1.0,1.0
11,80,0.20840329899879453,0.9333333333333333,0.9333333333333333
12,80,0.20367559685823036,1.0,1.0
13,80,0.22740926332433853,0.9333333333333333,0.9333333333333333
14,80,0.19049110426755703,1.0,1.0
15,80,0.2143161007612268,0.9333333333333333,0.9333333333333333
