solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.19690877989380112,1.0,1.0
1,80,0.21776734097623632,0.8666666666666667,0.9333333333333333
2,80,0.20538467786583825,0.8666666666666667,0.8666666666666667
3,80,0.19033650041106953,0.9333333333333333,1.0
4,80,0.19749052013993687,0.8666666666666667,0.8666666666666667
5,80,0.18470677908836816,0.8666666666666667,0.8666666666666667
6,80,0.1881766654504112,1.0,1.0
7,80,0.2013233615251251,1.0,1.0
8,80,0.21140325476255706,1.0,1.0
9,80,0.1994511521003219,1.0,1.0
10,80,0.1984295113656403,1.0,1.0
11,80,0.20174543524667443,1.0,1.0
12,80,0.2062999871554945,1.0,1.0
13,80,0.2107766432360915,1.0,1.0
14,80,0.18524656481332102,1.0,1.0
15,80,0.21932228482763194,0.8,0.8
