solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,109,0.28574665571442903,1.0,1.0
1,110,0.2806460862237062,1.0,0.9333333333333333
2,115,0.291783529936228,0.9333333333333333,0.9333333333333333
3,137,0.34869405720823177,1.0,0.9333333333333333
4,75,0.18975970611654203,1.0,1.0
5,198,0.4855990257597555,0.8666666666666667,0.8666666666666667
6,97,0.2476271899779794,1.0,1.0
7,400,1.0,1.0,1.0
8,92,0.21869479985513574,1.0,1.0
9,85,0.22082840747221466,1.0,1.0
10,146,0.36396385694765476,1.0,1.0
11,102,0.2725565678114264,0.9333333333333333,0.9333333333333333
12,371,0.9312313892335115,1.0,1.0
13,95,0.20826233264000835,0.9333333333333333,0.9333333333333333
14,90,0.2531727203192934,1.0,1.0
15,91,0.20515107887399892,0.8666666666666667,0.8666666666666667
