solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,260,0.49363566387237484,0.6666666666666666,0.6666666666666666
1,150,0.2610230372465623,0.6666666666666666,0.6
2,70,0.10579898651146943,0.6666666666666666,0.6666666666666666
3,151,0.2471080093420577,0.5333333333333333,0.6
4,56,0.10363122158540806,0.6666666666666666,0.6666666666666666
5,231,0.47343209995425994,0.8,0.8
6,89,0.15019932219274706,0.6,0.6
7,400,1.0,1.0,1.0
8,102,0.17014514722586957,0.9333333333333333,0.9333333333333333
9,163,0.32299469099238837,0.8,0.8
10,31,0.05022186412192319,0.6666666666666666,0.6666666666666666
11,97,0.16489756123904237,0.8,0.8
12,253,0.6270444475432817,1.0,1.0
13,114,0.17053496857669073,0.7333333333333333,0.7333333333333333
14,92,0.18473097320892318,1.0,1.0
15,94,0.14771124190970278,0.8666666666666667,0.8666666666666667
