solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,168,0.423394471707598,1.0,1.0
1,137,0.36374059985414453,0.9333333333333333,1.0
2,150,0.41712541448636237,1.0,1.0
3,74,0.1752210826410056,0.9333333333333333,1.0
4,161,0.3659041145213774,0.8,0.8
5,124,0.2810081759476553,0.8666666666666667,0.8666666666666667
6,60,0.14759981104984232,1.0,1.0
7,42,0.1110665886241222,0.8666666666666667,0.8666666666666667
8,75,0.19123327790070271,1.0,1.0
9,82,0.20268169486276247,1.0,1.0
10,72,0.18319841739261286,1.0,1.0
11,300,0.8520097248542413,0.8666666666666667,0.8666666666666667
12,55,0.13754686469809907,1.0,1.0
13,148,0.37182984061183477,1.0,1.0
14,309,0.9193067276652267,0.8666666666666667,0.8666666666666667
15,383,0.9943243932089064,1.0,1.0
