solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,400,1.0,1.0,0.9333333333333333
1,351,0.933439969066431,1.0,1.0
2,96,0.313456800277311,0.4,0.4
3,107,0.28930131264216646,0.9333333333333333,0.8
4,97,0.23440999040528235,1.0,1.0
5,112,0.24813433321563216,1.0,1.0
6,146,0.30850959768354175,0.9333333333333333,0.9333333333333333
7,400,1.0,1.0,1.0
8,90,0.34296457598765834,0.3333333333333333,0.4
9,175,0.411487287974442,1.0,1.0
10,51,0.12111895004117476,1.0,1.0
11,400,1.0,1.0,0.8666666666666667
12,131,0.32830746461146937,1.0,1.0
13,400,1.0,1.0,0.8666666666666667
14,66,0.26830113949395346,0.26666666666666666,0.2
15,109,0.35196030755348856,0.4666666666666667,0.4666666666666667
