solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.19423933151119901,1.0,0.9333333333333333
1,80,0.19945444771777796,0.7333333333333333,0.7333333333333333
2,80,0.20023223133784482,0.6666666666666666,0.6666666666666666
3,80,0.16254480139239882,0.8,0.9333333333333333
4,80,0.14681353727705893,0.7333333333333333,0.7333333333333333
5,80,0.1291204575011887,0.6,0.6
6,80,0.1576638729391729,0.9333333333333333,0.9333333333333333
7,80,0.12251496683416109,0.5333333333333333,0.5333333333333333
8,80,0.17671941440987313,0.9333333333333333,1.0
9,80,0.16437610458728363,1.0,1.0
10,80,0.14042729789235545,0.6666666666666666,0.6666666666666666
11,80,0.1909227592950625,0.8,0.9333333333333333
12,80,0.19494452963807085,1.0,1.0
13,80,0.17959809794169757,0.8666666666666667,0.8666666666666667
14,80,0.18269090223416112,1.0,0.9333333333333333
15,80,0.2170773087174986,0.6,0.6
