solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,85,0.19133878296504206,0.7333333333333333,0.8
1,87,0.189081977605341,0.8666666666666667,0.8666666666666667
2,163,0.4535476158877264,0.6666666666666666,0.6666666666666666
3,83,0.2196834754580649,0.9333333333333333,0.8
4,81,0.19288348206684414,1.0,1.0
5,114,0.24151651561360335,0.8666666666666667,0.8666666666666667
6,92,0.2037355213883309,0.9333333333333333,0.9333333333333333
7,81,0.18931203919538714,0.8666666666666667,0.8666666666666667
8,34,0.08993707680917237,0.9333333333333333,1.0
9,85,0.20676943727304303,1.0,1.0
10,85,0.2012676424102558,0.9333333333333333,0.9333333333333333
11,85,0.16478960984912655,0.8,0.6666666666666666
12,107,0.26314042444620556,1.0,1.0
13,101,0.24100767667853404,0.9333333333333333,0.8
14,28,0.06048561135396339,0.9333333333333333,1.0
15,89,0.2337773942583645,0.6,0.6
