solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,20,0.04412096556545565,0.6,0.6666666666666666
1,21,0.047228759027627035,0.8666666666666667,0.8666666666666667
2,21,0.055738823393067766,0.6666666666666666,0.6666666666666666
3,21,0.05108287642343995,0.9333333333333333,0.8
4,27,0.0689586082525465,1.0,1.0
5,27,0.07222037459018116,0.8666666666666667,0.8666666666666667
6,24,0.05585775377514496,0.9333333333333333,0.9333333333333333
7,20,0.05976913943026299,0.8666666666666667,0.8666666666666667
8,20,0.04372482460651024,1.0,0.9333333333333333
9,20,0.04952265206227825,1.0,1.0
10,20,0.04905596708712883,1.0,1.0
11,37,0.10761232176540539,0.8,0.9333333333333333
12,20,0.05301976201878343,1.0,1.0
13,21,0.0637665619886938,0.8666666666666667,1.0
14,22,0.05806540225564043,1.0,0.9333333333333333
15,21,0.04544538158093107,1.0,1.0
