solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,400,1.0,1.0,0.9333333333333333
1,239,0.6742831009208906,0.7333333333333333,0.7333333333333333
2,112,0.3099794155990754,0.8,0.8
3,400,1.0,1.0,0.8666666666666667
4,87,0.20663485326184114,0.8666666666666667,0.8666666666666667
5,400,1.0,1.0,1.0
6,342,0.9001030774946646,0.9333333333333333,0.9333333333333333
7,353,0.9249484867990713,0.9333333333333333,0.9333333333333333
8,90,0.25678247715327274,0.9333333333333333,1.0
9,128,0.34781481141618636,1.0,1.0
10,86,0.22354552020409485,1.0,1.0
11,400,1.0,1.0,0.8666666666666667
12,110,0.26020319855605556,1.0,1.0
13,400,1.0,1.0,0.8666666666666667
14,83,0.18864018989471046,0.9333333333333333,1.0
15,128,0.3718188424959978,0.6,0.6
